#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
652.680657,1,6.578207
652.680657,1,6.611111
652.680657,1,6.635066
652.680657,1,6.658879
652.680657,1,6.685347
652.680657,1,6.710029
652.680657,1,6.732685
652.680657,1,6.758207
652.680657,1,6.78211
652.680657,1,6.806637
652.680657,1,6.833046
652.680657,1,6.852427
652.680657,1,6.872642
652.680657,1,6.89349
652.680657,1,6.916473
652.680657,1,6.936658
652.680657,1,6.956192
652.680657,1,6.976835
652.680657,1,7.000505
652.680657,1,7.021659
652.680657,1,7.041927
652.680657,1,7.065794
652.680657,1,7.086094
652.680657,1,7.107646
652.680657,1,7.127185
652.680657,1,7.148299
652.680657,1,7.167599
652.680657,1,7.188694
652.680657,1,7.20861
652.680657,1,7.230699
652.680657,1,7.259524
652.680657,1,7.281033
652.680657,1,7.300855
652.680657,1,7.326046
652.680657,1,7.348529
652.680657,1,7.368461
652.680657,1,7.388994
652.680657,1,7.409083
652.680657,1,7.433145
652.680657,1,7.452593
652.680657,1,7.473454
652.680657,1,7.495606
652.680657,1,7.525918
652.680657,1,7.547613
652.680657,1,7.570038
652.680657,1,7.595639
652.680657,1,7.616461
652.680657,1,7.636046
652.680657,1,7.656857
652.680657,1,7.677993
652.680657,1,7.704824
652.680657,1,7.726588
652.680657,1,7.750064
652.680657,1,7.774572
652.680657,1,7.798146
652.680657,1,7.822069
652.680657,1,7.849631
652.680657,1,7.876495
652.680657,1,7.896446
652.680657,1,7.919562
652.680657,1,7.941143
652.680657,1,7.964788
652.680657,1,8.010455
652.680657,1,8.030231
652.680657,1,8.050217
652.680657,1,8.077349
652.680657,1,8.098273
652.680657,1,8.118184
652.680657,1,8.137172
652.680657,1,8.16103
652.680657,1,8.181573
652.680657,1,8.201141
652.680657,1,8.219842
652.680657,1,8.240254
652.680657,1,8.259165
652.680657,1,8.276716
652.680657,1,8.292958
652.680657,1,8.315184
652.680657,1,8.334117
652.680657,1,8.352737
652.680657,1,8.368958
652.680657,1,8.389834
652.680657,1,8.411138
652.680657,1,8.431646
652.680657,1,8.451034
652.680657,1,8.474965
652.680657,1,8.492731
652.680657,1,8.513226
652.680657,1,8.53305
652.680657,1,8.554959
652.680657,1,8.576296
652.680657,1,8.596656
652.680657,1,8.616211
652.680657,1,8.637831
652.680657,1,8.656432
652.680657,1,8.675729
652.680657,1,8.694075
652.680657,1,8.715261
652.680657,1,8.733133
652.680657,1,8.751873
652.680657,1,8.76896
652.680657,1,8.788678
652.680657,1,8.808102
652.680657,1,8.82774
652.680657,1,8.84725
652.680657,1,8.869217
652.680657,1,8.887691
652.680657,1,8.906063
652.680657,1,8.923408
652.680657,1,8.946634
652.680657,1,8.968748
652.680657,1,8.985959
652.680657,1,9.005029
652.680657,1,9.027783
652.680657,1,9.048694
652.680657,1,9.068837
652.680657,1,9.087048
652.680657,1,9.111121
652.680657,1,9.13114
652.680657,1,9.150908
652.680657,1,9.169215
652.680657,1,9.192643
652.680657,1,9.214775
652.680657,1,9.235829
652.680657,1,9.254112
652.680657,1,9.276928
652.680657,1,9.295466
652.680657,1,9.315156
652.680657,1,9.333416
652.680657,1,9.355452
652.680657,1,9.375532
652.680657,1,9.395123
652.680657,1,9.412956
652.680657,1,9.432856
