#{"t_start": 1682828368.962429, "env_id": null}
r,l,t
1611.721565,2,6.60109
1611.721565,2,6.638648
1611.721638,2,6.678757
1611.721638,2,6.723198
1611.721638,2,6.759925
1611.721638,2,6.797897
1611.721638,2,6.8306
1611.721638,2,6.874755
1611.721638,2,6.915023
1611.721638,2,6.954163
1611.721638,2,6.992074
1611.721638,2,7.03503
1611.721638,2,7.074522
1611.721638,2,7.11076
1611.721638,2,7.142898
1611.721638,2,7.181138
1611.721638,2,7.218512
1611.721638,2,7.257435
1611.721638,2,7.29518
1611.721638,2,7.33823
1611.721638,2,7.378676
1611.721638,2,7.415176
1611.721638,2,7.453531
1611.721638,2,7.495991
1611.721638,2,7.535113
1611.721638,2,7.576074
1611.721638,2,7.638144
1611.721638,2,7.67825
1611.721638,2,7.717343
1611.721638,2,7.757442
1611.721638,2,7.792637
1611.721638,2,7.83187
1611.721638,2,7.86614
1611.721638,2,7.900268
1611.721638,2,7.937334
1611.721638,2,7.979217
1611.721638,2,8.017202
1611.721638,2,8.05038
1611.721638,2,8.083893
1611.721638,2,8.123538
1611.721638,2,8.161274
1611.721638,2,8.4279
1611.721638,2,8.471598
1611.721638,2,8.514621
1611.721638,2,8.551952
1611.721638,2,8.586737
1611.721638,2,8.621235
1611.721638,2,8.666926
1611.721638,2,8.702626
1611.721638,2,8.736264
1611.721638,2,8.770009
1611.721638,2,8.810336
1611.721638,2,8.845529
1611.721638,2,8.882632
1611.721638,2,8.91973
1611.721638,2,8.962509
1611.721638,2,8.997534
1611.721638,2,9.0307
1611.721638,2,9.066834
1611.721638,2,9.116519
1611.721638,2,9.165709
1611.721638,2,9.205518
1611.721638,2,9.242885
1611.721638,2,9.286276
1611.721638,2,9.323335
1611.721638,2,9.358642
1611.721638,2,9.393593
1611.721638,2,9.436345
1611.721638,2,9.474919
1611.721638,2,9.511622
1611.721638,2,9.544174
1611.721638,2,9.582081
1611.721638,2,9.622018
1611.721638,2,9.657912
1611.721638,2,9.691539
1611.721638,2,9.730075
1611.721638,2,9.788987
1611.721638,2,9.834348
1611.721638,2,9.8747
1611.721638,2,9.921246
1611.721638,2,9.955874
1611.721638,2,9.990627
1611.721638,2,10.025225
1611.721638,2,10.063912
1611.721638,2,10.100755
1611.721638,2,10.134784
1611.721638,2,10.172038
1611.721638,2,10.21251
1611.721638,2,10.247478
1611.721638,2,10.282081
1611.721638,2,10.315886
1611.721638,2,10.35464
1611.721638,2,10.389352
1611.721638,2,10.422412
1611.721638,2,10.457354
1611.721638,2,10.498078
1611.721638,2,10.537792
1611.721638,2,10.572888
1611.721638,2,10.611597
1611.721638,2,10.651909
1611.721638,2,10.687882
1611.721638,2,10.722047
1611.721638,2,10.755908
1611.721638,2,10.796154
1611.721638,2,10.841902
1611.721638,2,10.886886
1611.721638,2,10.920509
1611.721638,2,10.966892
1611.721638,2,11.010395
1611.721638,2,11.045549
1611.721638,2,11.09199
1611.721638,2,11.134164
1611.721638,2,11.180509
1611.721638,2,11.21917
1611.721638,2,11.25932
1611.721638,2,11.303457
1611.721638,2,11.343117
1611.721638,2,11.383915
1611.721638,2,11.421611
1611.721638,2,11.461799
1611.721638,2,11.500075
1611.721638,2,11.537171
1611.721638,2,11.572285
1611.721638,2,11.61855
1611.721638,2,11.658568
1611.721638,2,11.696027
1611.721638,2,11.759392
1611.721638,2,11.802069
1611.721638,2,11.842345
1611.721638,2,11.885549
1611.721638,2,11.926826
