0.00000000000000000000-U1848-U2023-04-05 09:31:41-U0-U5.000000
0.00000000000000000000-U1847-U2023-04-05 09:31:36-U0-U5.000000
0.00000000000000000000-U1846-U2023-04-05 09:31:31-U0-U5.000000
0.00000000000000000000-U1845-U2023-04-05 09:31:26-U0-U5.000000
0.00000000000000000000-U1844-U2023-04-05 09:31:21-U0-U5.000000
0.00000000000000000000-U1843-U2023-04-05 09:31:16-U0-U5.000000
0.00000000000000000000-U1842-U2023-04-05 09:31:11-U0-U5.000000
0.00000000000000000000-U1841-U2023-04-05 09:31:06-U0-U5.000000
0.00000000000000000000-U1840-U2023-04-05 09:31:01-U0-U5.000000
0.00000000000000000000-U1839-U2023-04-05 09:30:56-U0-U5.000000
