#{"t_start": 1688958427.8017845, "env_id": "None"}
r,l,t
0.0,1,22.047991
0.0,1,22.049351
0.0,1,22.052068
0.0,1,22.053903
0.0,1,22.055516
0.0,1,22.057009
212.235601,1,22.059182
0.0,1,22.060313
0.0,1,22.061818
0.0,1,22.062931
0.0,1,22.067187
0.0,1,22.0687
0.0,1,22.070084
0.0,1,22.071177
0.0,1,22.073065
574.828122,1,22.074173
0.0,1,22.075922
0.0,1,22.07742
0.0,1,22.079937
0.0,1,22.081875
0.0,1,22.083533
0.0,1,22.084694
0.0,1,22.086882
0.0,1,22.088023
0.0,1,22.089148
0.0,1,22.090221
0.0,1,22.092236
268.282508,2,22.093913
0.0,1,22.096912
0.0,1,22.09947
0.0,1,22.102508
0.0,1,22.103622
0.0,1,22.104728
0.0,1,22.105791
0.0,1,22.107801
0.0,1,22.109727
0.0,1,22.110996
0.0,1,22.112097
0.0,1,22.114464
0.0,1,22.116322
0.0,1,22.118274
0.0,1,22.119922
0.0,1,22.12173
0.0,1,22.122827
0.0,1,22.123914
0.0,1,22.124978
0.0,1,22.126688
0.0,1,22.127763
0.0,1,22.128791
0.0,1,22.129813
0.0,1,22.131531
0.0,1,22.132579
235.304087,1,22.133645
0.0,1,22.134745
0.0,1,22.13648
0.0,1,22.137581
0.0,1,22.13863
0.0,1,22.139893
0.0,1,22.142374
0.0,1,22.144032
0.0,1,22.145402
0.0,1,22.146685
368.379944,2,22.151036
0.0,1,22.152691
0.0,1,22.154172
0.0,1,22.155545
0.0,1,22.157906
0.0,1,22.159977
0.0,1,22.161289
0.0,1,22.162851
0.0,1,22.165295
0.0,1,22.1664
0.0,1,22.167675
0.0,1,22.168951
0.0,1,22.171057
0.0,1,22.172146
0.0,1,22.17322
0.0,1,22.174428
0.0,1,22.176684
0.0,1,22.17784
0.0,1,22.17914
0.0,1,22.180944
0.0,1,22.182988
0.0,1,22.184072
0.0,1,22.185293
0.0,1,22.1866
0.0,1,22.188759
0.0,1,22.189914
454.477896,1,22.191305
0.0,1,22.192402
0.0,1,22.194301
0.0,1,22.195412
0.0,1,22.196507
0.0,1,22.197616
0.0,1,22.199343
0.0,1,22.200413
0.0,1,22.201505
0.0,1,22.202608
0.0,1,22.204413
0.0,1,22.205575
0.0,1,22.206633
0.0,1,22.207714
0.0,1,22.209681
0.0,1,22.210723
0.0,1,22.211835
0.0,1,22.212884
0.0,1,22.214597
0.0,1,22.215927
0.0,1,22.219708
0.0,1,22.221437
0.0,1,22.222711
0.0,1,22.223952
0.0,1,22.226737
0.0,1,22.228568
0.0,1,22.22968
0.0,1,22.230782
0.0,1,22.232584
0.0,1,22.23364
0.0,1,22.234741
0.0,1,22.235862
0.0,1,22.237695
0.0,1,22.239405
396.458868,2,22.24147
0.0,1,22.24336
0.0,1,22.245972
0.0,1,22.247108
0.0,1,22.248454
0.0,1,22.250218
0.0,1,22.252094
0.0,1,22.25313
0.0,2,22.255206
0.0,1,22.256279
0.0,1,22.258615
0.0,1,22.260423
0.0,1,22.261619
0.0,1,22.262696
0.0,1,22.264853
0.0,1,22.266755
0.0,1,22.267967
0.0,1,22.269597
0.0,1,22.2716
0.0,1,22.272726
0.0,1,22.273839
0.0,1,22.275114
871.263241,2,22.278375
0.0,1,22.279772
0.0,1,22.281667
0.0,1,22.282877
0.0,1,22.285348
0.0,1,22.286945
0.0,1,22.288125
0.0,1,22.289178
0.0,1,22.290872
0.0,1,22.292012
0.0,1,22.293415
0.0,1,22.294675
0.0,1,22.297817
0.0,1,22.299678
0.0,1,22.30156
596.909373,1,22.30349
0.0,1,22.306154
0.0,1,22.307551
0.0,1,22.308628
481.437548,1,22.309674
0.0,1,22.311397
0.0,1,22.312429
0.0,1,22.313927
0.0,1,22.315847
0.0,2,22.319028
0.0,1,22.320796
0.0,1,22.321861
1912.302419,4,22.324719
0.0,1,22.326546
0.0,1,22.327688
0.0,1,22.328884
0.0,1,22.32996
0.0,1,22.332232
0.0,1,22.333933
0.0,1,22.335257
0.0,1,22.336405
0.0,1,22.341319
0.0,1,22.343246
0.0,1,22.344448
0.0,1,22.345594
0.0,1,22.348473
0.0,1,22.349978
1055.265087,3,22.352613
0.0,1,22.354074
0.0,1,22.355961
0.0,1,22.35704
0.0,1,22.358136
0.0,1,22.359233
0.0,1,22.361667
0.0,1,22.36312
0.0,1,22.364237
0.0,1,22.365591
0.0,1,22.368311
0.0,1,22.369406
0.0,1,22.370475
0.0,1,22.373733
0.0,1,22.375463
0.0,1,22.3772
0.0,1,22.378463
0.0,1,22.380502
0.0,1,22.381779
0.0,1,22.383401
0.0,1,22.384903
0.0,1,22.387163
0.0,1,22.38905
0.0,1,22.390975
0.0,1,22.392771
0.0,1,22.395027
0.0,1,22.396139
0.0,1,22.397432
0.0,1,22.398576
0.0,1,22.400493
0.0,1,22.401571
0.0,1,22.402612
0.0,1,22.40418
0.0,1,22.40659
0.0,1,22.407926
0.0,1,22.409514
0.0,1,22.411104
329.893134,1,22.413579
0.0,1,22.414646
0.0,1,22.415766
0.0,1,22.41674
0.0,1,22.418524
0.0,1,22.420182
0.0,1,22.421355
0.0,1,22.423032
0.0,1,22.426358
0.0,1,22.42753
0.0,1,22.428588
0.0,1,22.429656
0.0,1,22.431369
0.0,1,22.432464
0.0,1,22.433486
0.0,1,22.434591
0.0,1,22.436612
0.0,1,22.438712
0.0,1,22.44065
0.0,1,22.442348
0.0,1,22.44452
0.0,1,22.44566
0.0,1,22.446812
0.0,1,22.447925
0.0,1,22.45024
0.0,1,22.45213
0.0,1,22.4532
0.0,1,22.454357
0.0,1,22.456286
0.0,1,22.457392
0.0,1,22.45847
0.0,1,22.459558
0.0,1,22.461464
0.0,1,22.462561
0.0,1,22.463648
0.0,1,22.464724
0.0,1,22.466562
0.0,1,22.467649
0.0,1,22.468713
0.0,1,22.469778
0.0,1,22.471512
0.0,1,22.472576
0.0,1,22.473646
0.0,1,22.474692
0.0,1,22.476421
0.0,1,22.477495
0.0,1,22.478587
0.0,1,22.479677
0.0,1,22.481488
0.0,1,22.482559
0.0,1,22.483649
0.0,1,22.484712
0.0,1,22.486412
0.0,1,22.487504
0.0,1,22.488613
0.0,1,22.489699
0.0,1,22.491672
0.0,1,22.493583
0.0,1,22.494917
0.0,1,22.496041
546.74965,1,22.497841
0.0,1,22.498982
0.0,1,22.500075
372.475372,1,22.501157
0.0,1,22.502897
0.0,1,22.504028
0.0,1,22.505045
0.0,1,22.506042
0.0,1,22.507903
0.0,1,22.508975
0.0,1,22.510358
0.0,1,22.511935
0.0,1,22.519725
0.0,1,22.520823
0.0,1,22.521931
0.0,1,22.522971
0.0,1,22.52703
0.0,1,22.528239
0.0,1,22.529315
0.0,1,22.53038
0.0,1,22.532386
0.0,1,22.533491
0.0,1,22.534584
0.0,1,22.53568
0.0,1,22.537621
0.0,1,22.538787
0.0,1,22.53987
0.0,1,22.540972
0.0,1,22.542985
0.0,1,22.544268
0.0,1,22.545517
0.0,1,22.546591
0.0,1,22.548706
0.0,1,22.549779
0.0,1,22.550862
0.0,1,22.551955
0.0,1,22.553731
0.0,1,22.554847
0.0,1,22.555939
0.0,1,22.55704
0.0,1,22.559013
0.0,1,22.560209
0.0,1,22.561321
0.0,1,22.562425
0.0,1,22.565141
0.0,1,22.56651
0.0,1,22.567772
0.0,1,22.56886
0.0,1,22.570702
0.0,1,22.571829
0.0,1,22.572901
0.0,1,22.574073
0.0,1,22.576646
0.0,1,22.578543
0.0,1,22.579803
0.0,1,22.581046
0.0,1,22.583089
0.0,1,22.584196
0.0,1,22.585278
0.0,1,22.586324
0.0,1,22.588056
0.0,1,22.589215
0.0,1,22.59026
0.0,1,22.591393
0.0,1,22.593159
0.0,1,22.594234
0.0,1,22.595317
0.0,1,22.596456
0.0,1,22.598335
0.0,1,22.599435
0.0,1,22.600554
0.0,1,22.601646
0.0,1,22.603385
0.0,1,22.604464
0.0,1,22.605547
0.0,1,22.606664
0.0,1,22.608642
0.0,1,22.609936
0.0,1,22.611187
0.0,1,22.612568
0.0,1,22.61496
0.0,1,22.616446
0.0,1,22.618335
0.0,1,22.619718
0.0,1,22.621483
0.0,1,22.622536
0.0,1,22.623626
0.0,1,22.6254
0.0,1,22.627529
0.0,1,22.628984
0.0,1,22.630101
0.0,1,22.631222
0.0,1,22.633158
0.0,1,22.634486
0.0,1,22.636113
0.0,1,22.637242
0.0,1,22.639172
0.0,1,22.640428
0.0,1,22.641719
0.0,1,22.642832
0.0,1,22.64505
0.0,1,22.646158
0.0,1,22.647244
0.0,1,22.648322
0.0,1,22.650111
0.0,1,22.651299
0.0,1,22.652396
0.0,1,22.653441
0.0,1,22.655323
